ticker,fiscal_year,variable_cost_ratio,fixed_cost_estimate,four_p,four_c,customer_relationship,value_chain_note,manual_note
3543,2024,0.58,12500,店舗体験・FC展開・価格帯・郊外立地,価値・利便性・会話・快適性,FC加盟店と常連顧客の関係性を重視,本部供給と店舗運営支援の連携が重要,サンプル手入力KPI
3087,2024,0.64,21000,カフェ商品・多業態・駅前立地・販促,選択肢・利便性・接点・コスト感,駅前利用と外食需要の反復接点を重視,原材料調達から店舗運営までの効率化が重要,サンプル手入力KPI
3395,2024,0.63,10800,ベーカリー・レストラン・店舗網・販促,食体験・利便性・コミュニケーション・価格納得,家族利用と日常利用の関係性を重視,店舗開発と商品供給の一体運用が重要,サンプル手入力KPI
3038,2024,0.72,72000,低価格食品・店舗網・PB商品・販促,経済性・品ぞろえ・利用容易性・情報接点,業務用と家庭用双方の継続利用を重視,調達力と物流、店舗網の連携が重要,サンプル手入力KPI
9201,2024,0.70,380000,航空座席・路線網・運賃・マイル施策,移動価値・予約利便性・接点・総費用,会員制度と法人需要の関係性を重視,機材、空港、運航、販売の連携が重要,サンプル手入力KPI
9202,2024,0.69,445000,航空座席・路線網・運賃・会員施策,移動価値・予約利便性・接点・総費用,会員制度と国際線需要の関係性を重視,グループ運航と関連サービスの連携が重要,サンプル手入力KPI
9206,2024,0.73,10000,地域路線・サービス品質・運賃・Web販促,移動価値・予約利便性・接点・総費用,地域利用者との接点を重視,機材稼働と路線採算の管理が重要,サンプル手入力KPI
9204,2024,0.72,26000,国内路線・シンプル運賃・空港網・Web販促,移動価値・予約利便性・接点・総費用,国内移動需要との反復接点を重視,機材稼働と座席販売の効率化が重要,サンプル手入力KPI
7011,2024,0.76,1600000,大型機械・防衛・エナジー・長期案件,安全性・信頼性・保守・総コスト,官公庁・電力・航空宇宙顧客との長期関係を重視,設計・調達・製造・保守まで長いバリューチェーンが重要,サンプル手入力KPI
7012,2024,0.74,520000,航空機・車両・二輪・エネルギー,性能・信頼性・ブランド・保守,法人顧客と乗用・二輪ユーザー双方の関係性を重視,量産品と長期プロジェクトの両方の供給網が重要,サンプル手入力KPI
7013,2024,0.73,420000,航空エンジン・産業機械・エネルギー,技術力・保守・効率・信頼性,航空会社・官公庁・産業顧客との継続関係を重視,部品供給と保守サービスを含むライフサイクル管理が重要,サンプル手入力KPI
7203,2024,0.79,9000000,自動車・電動化・販売網・金融,移動価値・信頼性・保守・総保有コスト,販売店網と法人・個人顧客の長期接点を重視,部品調達から製造・販売・金融までの統合が重要,EDINET対応候補サンプル
7267,2024,0.78,3900000,四輪・二輪・電動化・グローバル販売,移動価値・ブランド・保守・総費用,二輪と四輪の幅広い顧客基盤を重視,研究開発・生産・販売の地域分散が重要,EDINET対応候補サンプル
7201,2024,0.80,2400000,自動車・EV・販売金融・海外市場,移動価値・価格納得・保守・接点,販売店と金融サービスを含む顧客接点を重視,車両開発・生産・販売金融の連携が重要,EDINET対応候補サンプル
2802,2024,0.62,430000,調味料・食品・素材・海外展開,味・健康価値・価格・入手しやすさ,家庭用と業務用の継続購入関係を重視,原料調達・生産・物流・ブランドの連携が重要,EDINET対応候補サンプル
2801,2024,0.60,210000,調味料・海外食品・ブランド・販促,味・品質・利便性・文化価値,家庭用と外食向けの反復需要を重視,発酵技術・製造・海外販売網の連携が重要,EDINET対応候補サンプル
2002,2024,0.64,240000,製粉・加工食品・健康食品・業務用,品質・安定供給・価格・健康価値,食品メーカーと家庭用顧客の双方を重視,原料調達・製粉・加工・販売の効率化が重要,EDINET対応候補サンプル
6758,2024,0.58,5200000,ゲーム・音楽・映画・半導体・金融,体験価値・ブランド・接点・利便性,コンテンツ利用者とデバイス顧客の継続接点を重視,コンテンツ・デバイス・半導体・金融の複合価値が重要,EDINET対応候補サンプル
6501,2024,0.70,3900000,インフラ・デジタル・エネルギー・保守,信頼性・効率化・保守・総コスト,公共・産業顧客との長期プロジェクト関係を重視,設計・システム構築・保守サービスの連携が重要,EDINET対応候補サンプル
8058,2024,0.92,780000,資源・食品・金属・モビリティ・事業投資,調達力・ネットワーク・リスク管理・供給安定性,投資先・取引先との長期ネットワークを重視,調達・投資・物流・販売金融の組み合わせが重要,EDINET対応候補サンプル
